
56,1,2021-05-29,10
58,2,2021-05-29,10
59,16,2021-05-29,10
60,20,2021-05-29,10
61,33,2021-05-29,10
62,37,2021-05-29,10
63,41,2021-05-29,10
98,66,2021-05-31,10
99,67,2021-05-31,10
100,68,2021-05-31,10
102,69,2021-05-31,10
103,70,2021-05-31,10
104,71,2021-05-31,10
105,72,2021-05-31,10
106,73,2021-05-31,10
107,74,2021-05-31,10
108,75,2021-05-31,10
109,76,2021-05-31,10
110,77,2021-05-31,10
111,78,2021-05-31,10
112,79,2021-05-31,10
113,80,2021-05-31,10
114,81,2021-05-31,10
115,82,2021-05-31,10
116,83,2021-05-31,10
117,86,2021-05-31,10
123,87,2021-06-05,10
126,3,2021-06-05,0
127,4,2021-06-05,0
128,5,2021-06-05,0
129,6,2021-06-05,0
130,7,2021-06-05,0
131,8,2021-06-05,0
132,9,2021-06-05,0
133,10,2021-06-05,0
134,11,2021-06-05,0
135,12,2021-06-05,0
136,13,2021-06-05,0
137,14,2021-06-05,0
138,15,2021-06-05,0
140,17,2021-06-05,0
141,18,2021-06-05,0
142,19,2021-06-05,0
144,22,2021-06-05,0
145,23,2021-06-05,0
146,24,2021-06-05,0
147,25,2021-06-05,0
148,26,2021-06-05,0
149,27,2021-06-05,0
150,28,2021-06-05,0
151,29,2021-06-05,0
152,30,2021-06-05,0
153,31,2021-06-05,0
155,34,2021-06-05,0
156,35,2021-06-05,0
157,36,2021-06-05,0
159,38,2021-06-05,0
160,39,2021-06-05,0
161,40,2021-06-05,0
163,42,2021-06-05,0
164,44,2021-06-05,0
165,45,2021-06-05,0
166,46,2021-06-05,0
167,47,2021-06-05,0
168,48,2021-06-05,0
169,49,2021-06-05,0
170,50,2021-06-05,0
171,51,2021-06-05,0
172,52,2021-06-05,0
173,53,2021-06-05,0
174,88,2021-06-05,10
